,Week,Day,Start_Date,End_Date,Total_Doses,Year,COVID-19 Deaths
3,1,2020-01-11,2020-01-05,2020-01-11,3136353,2020,1.0
4,2,2020-01-18,2020-01-12,2020-01-18,5371448,2020,2.0
5,3,2020-01-25,2020-01-19,2020-01-25,6999168,2020,3.0
6,4,2020-02-01,2020-01-26,2020-02-01,8741069,2020,0.0
7,5,2020-02-08,2020-02-02,2020-02-08,9450425,2020,4.0
8,6,2020-02-15,2020-02-09,2020-02-15,11286719,2020,6.0
9,7,2020-02-22,2020-02-16,2020-02-22,11003861,2020,6.0
10,8,2020-02-29,2020-02-23,2020-02-29,11112110,2020,9.0
11,9,2020-03-07,2020-03-01,2020-03-07,14562794,2020,38.0
12,10,2020-03-14,2020-03-08,2020-03-14,16212068,2020,60.0
13,11,2020-03-21,2020-03-15,2020-03-21,17094362,2020,588.0
14,12,2020-03-28,2020-03-22,2020-03-28,18269310,2020,3226.0
15,13,2020-04-04,2020-03-29,2020-04-04,20700906,2020,10141.0
16,14,2020-04-11,2020-04-05,2020-04-11,21564235,2020,16347.0
17,15,2020-04-18,2020-04-12,2020-04-18,22934501,2020,17221.0
18,16,2020-04-25,2020-04-19,2020-04-25,20163675,2020,15557.0
19,17,2020-05-02,2020-04-26,2020-05-02,17817437,2020,13223.0
20,18,2020-05-09,2020-05-03,2020-05-09,14621447,2020,11243.0
21,19,2020-05-16,2020-05-10,2020-05-16,14037953,2020,9239.0
22,20,2020-05-23,2020-05-17,2020-05-23,12764640,2020,7249.0
23,21,2020-05-30,2020-05-24,2020-05-30,10536474,2020,6176.0
24,22,2020-06-06,2020-05-31,2020-06-06,7255972,2020,5060.0
25,23,2020-06-13,2020-06-07,2020-06-13,7719693,2020,4233.0
26,24,2020-06-20,2020-06-14,2020-06-20,8646428,2020,3852.0
27,25,2020-06-27,2020-06-21,2020-06-27,5909518,2020,3846.0
28,26,2020-07-04,2020-06-28,2020-07-04,7038996,2020,4557.0
29,27,2020-07-11,2020-07-05,2020-07-11,4339369,2020,5786.0
30,28,2020-07-18,2020-07-12,2020-07-18,3688646,2020,7198.0
31,29,2020-07-25,2020-07-19,2020-07-25,3782365,2020,8250.0
