,Day,Doses,Year,Week
46444,2021-01-08,1239032,2021,1
46810,2022-01-09,201340,2022,1
46809,2022-01-08,197634,2022,1
46808,2022-01-07,193927,2022,1
46807,2022-01-06,190220,2022,1
46806,2022-01-05,186513,2022,1
46805,2022-01-04,182806,2022,1
46804,2022-01-03,179100,2022,1
46075,2020-01-05,339372,2020,1
46074,2020-01-04,348017,2020,1
46073,2020-01-03,336949,2020,1
46072,2020-01-02,325882,2020,1
46443,2021-01-07,1194381,2021,1
46070,2019-12-31,278776,2019,1
46069,2019-12-30,255223,2019,1
46446,2021-01-10,1213113,2021,1
46445,2021-01-09,1214642,2021,1
46071,2020-01-01,302329,2020,1
46440,2021-01-04,1075148,2021,1
46441,2021-01-05,1072127,2021,1
46442,2021-01-06,1133950,2021,1
46451,2021-01-15,1193256,2021,2
46452,2021-01-16,1187351,2021,2
46453,2021-01-17,1158584,2021,2
46817,2022-01-16,188933,2022,2
46816,2022-01-15,191618,2022,2
46812,2022-01-11,202362,2022,2
46814,2022-01-13,196990,2022,2
46813,2022-01-12,199676,2022,2
46450,2021-01-14,1268202,2021,2
46811,2022-01-10,205047,2022,2
46815,2022-01-14,194304,2022,2
46447,2021-01-11,1234672,2021,2
46448,2021-01-12,1291013,2021,2
46449,2021-01-13,1286773,2021,2
46076,2020-01-06,358887,2020,2
46077,2020-01-07,378253,2020,2
46078,2020-01-08,419933,2020,2
46079,2020-01-09,461263,2020,2
46080,2020-01-10,546636,2020,2
46081,2020-01-11,632009,2020,2
46082,2020-01-12,641524,2020,2
46454,2021-01-18,1081937,2021,3
46088,2020-01-18,837595,2020,3
46455,2021-01-19,949374,2021,3
46456,2021-01-20,861495,2021,3
46457,2021-01-21,789339,2021,3
46458,2021-01-22,789339,2021,3
46459,2021-01-23,789339,2021,3
46085,2020-01-15,798707,2020,3
46087,2020-01-17,824632,2020,3
46086,2020-01-16,811670,2020,3
46089,2020-01-19,911493,2020,3
46084,2020-01-14,747082,2020,3
46083,2020-01-13,710238,2020,3
46460,2021-01-24,789339,2021,3
46818,2022-01-17,186247,2022,3
46824,2022-01-23,148924,2022,3
46820,2022-01-19,173806,2022,3
46821,2022-01-20,167586,2022,3
46822,2022-01-21,161365,2022,3
46823,2022-01-22,155145,2022,3
46819,2022-01-18,180026,2022,3
46091,2020-01-21,913912,2020,4
46095,2020-01-25,1126251,2020,4
46096,2020-01-26,1119058,2020,4
46831,2022-01-30,116702,2022,4
46830,2022-01-29,121036,2022,4
46829,2022-01-28,125370,2022,4
46828,2022-01-27,129703,2022,4
46467,2021-01-31,732693,2021,4
46465,2021-01-29,802333,2021,4
46466,2021-01-30,762052,2021,4
