Day,Start_Date,End_Date,Total_Doses,Week
2019-12-21,2019-12-15,2019-12-21,57909,51
2019-12-28,2019-12-22,2019-12-28,1343199,52
2020-01-04,2019-12-29,2020-01-04,2082861,1
2020-01-11,2020-01-05,2020-01-11,3136353,2
2020-01-18,2020-01-12,2020-01-18,5371448,3
2020-01-25,2020-01-19,2020-01-25,6999168,4
2020-02-01,2020-01-26,2020-02-01,8741069,5
2020-02-08,2020-02-02,2020-02-08,9450425,6
2020-02-15,2020-02-09,2020-02-15,11286719,7
2020-02-22,2020-02-16,2020-02-22,11003861,8
2020-02-29,2020-02-23,2020-02-29,11112110,9
2020-03-07,2020-03-01,2020-03-07,14562794,10
2020-03-14,2020-03-08,2020-03-14,16212068,11
2020-03-21,2020-03-15,2020-03-21,17094362,12
2020-03-28,2020-03-22,2020-03-28,18269310,13
2020-04-04,2020-03-29,2020-04-04,20700906,14
2020-04-11,2020-04-05,2020-04-11,21564235,15
2020-04-18,2020-04-12,2020-04-18,22934501,16
2020-04-25,2020-04-19,2020-04-25,20163675,17
2020-05-02,2020-04-26,2020-05-02,17817437,18
2020-05-09,2020-05-03,2020-05-09,14621447,19
2020-05-16,2020-05-10,2020-05-16,14037953,20
2020-05-23,2020-05-17,2020-05-23,12764640,21
2020-05-30,2020-05-24,2020-05-30,10536474,22
2020-06-06,2020-05-31,2020-06-06,7255972,23
2020-06-13,2020-06-07,2020-06-13,7719693,24
2020-06-20,2020-06-14,2020-06-20,8646428,25
2020-06-27,2020-06-21,2020-06-27,5909518,26
2020-07-04,2020-06-28,2020-07-04,7038996,27
2020-07-11,2020-07-05,2020-07-11,4339369,28
2020-07-18,2020-07-12,2020-07-18,3688646,29
2020-07-25,2020-07-19,2020-07-25,3782365,30
2020-08-01,2020-07-26,2020-08-01,4456820,31
2020-08-08,2020-08-02,2020-08-08,4886310,32
2020-08-15,2020-08-09,2020-08-15,5099152,33
2020-08-22,2020-08-16,2020-08-22,5781964,34
2020-08-29,2020-08-23,2020-08-29,6190649,35
2020-09-05,2020-08-30,2020-09-05,6343091,36
2020-09-12,2020-09-06,2020-09-12,5369905,37
2020-09-19,2020-09-13,2020-09-19,5404055,38
2020-09-26,2020-09-20,2020-09-26,4756967,39
2020-10-03,2020-09-27,2020-10-03,5245387,40
2020-10-10,2020-10-04,2020-10-10,6613950,41
2020-10-17,2020-10-11,2020-10-17,5806246,42
2020-10-24,2020-10-18,2020-10-24,5561696,43
2020-10-31,2020-10-25,2020-10-31,7198926,44
2020-11-07,2020-11-01,2020-11-07,8947646,45
2020-11-14,2020-11-08,2020-11-14,9440258,46
2020-11-21,2020-11-15,2020-11-21,10192416,47
2020-11-28,2020-11-22,2020-11-28,8555943,48
2020-12-05,2020-11-29,2020-12-05,10084795,49
2020-12-12,2020-12-06,2020-12-12,13553377,50
2020-12-19,2020-12-13,2020-12-19,11639399,51
2020-12-26,2020-12-20,2020-12-26,9247948,52
2021-01-02,2020-12-27,2021-01-02,7742955,53
2021-01-09,2021-01-03,2021-01-09,8022285,1
2021-01-16,2021-01-10,2021-01-16,8674380,2
2021-01-23,2021-01-17,2021-01-23,6419407,3
2021-01-30,2021-01-24,2021-01-30,5541819,4
2021-02-06,2021-01-31,2021-02-06,4748535,5
2021-02-13,2021-02-07,2021-02-13,4010629,6
