Start_Date,End_Date,Year,Week,COVID-19 Deaths,Total_Doses,Doses_Cumulative
2019-12-29,2020-01-04,2020,1.0,0.0,0.0,0.0
2020-01-05,2020-01-11,2020,2.0,1.0,0.0,0.0
2020-01-12,2020-01-18,2020,3.0,2.0,0.0,0.0
2020-01-19,2020-01-25,2020,4.0,3.0,0.0,0.0
2020-01-26,2020-02-01,2020,5.0,0.0,0.0,0.0
2020-02-02,2020-02-08,2020,6.0,4.0,0.0,0.0
2020-02-09,2020-02-15,2020,7.0,6.0,0.0,0.0
2020-02-16,2020-02-22,2020,8.0,6.0,0.0,0.0
2020-02-23,2020-02-29,2020,9.0,9.0,0.0,0.0
2020-03-01,2020-03-07,2020,10.0,38.0,0.0,0.0
2020-03-08,2020-03-14,2020,11.0,60.0,0.0,0.0
2020-03-15,2020-03-21,2020,12.0,588.0,0.0,0.0
2020-03-22,2020-03-28,2020,13.0,3226.0,0.0,0.0
2020-03-29,2020-04-04,2020,14.0,10141.0,0.0,0.0
2020-04-05,2020-04-11,2020,15.0,16347.0,0.0,0.0
2020-04-12,2020-04-18,2020,16.0,17221.0,0.0,0.0
2020-04-19,2020-04-25,2020,17.0,15557.0,0.0,0.0
2020-04-26,2020-05-02,2020,18.0,13223.0,0.0,0.0
2020-05-03,2020-05-09,2020,19.0,11243.0,0.0,0.0
2020-05-10,2020-05-16,2020,20.0,9239.0,0.0,0.0
2020-05-17,2020-05-23,2020,21.0,7249.0,0.0,0.0
2020-05-24,2020-05-30,2020,22.0,6176.0,0.0,0.0
2020-05-31,2020-06-06,2020,23.0,5060.0,0.0,0.0
2020-06-07,2020-06-13,2020,24.0,4233.0,0.0,0.0
2020-06-14,2020-06-20,2020,25.0,3852.0,0.0,0.0
2020-06-21,2020-06-27,2020,26.0,3846.0,0.0,0.0
2020-06-28,2020-07-04,2020,27.0,4557.0,0.0,0.0
2020-07-05,2020-07-11,2020,28.0,5786.0,0.0,0.0
2020-07-12,2020-07-18,2020,29.0,7198.0,0.0,0.0
2020-07-19,2020-07-25,2020,30.0,8250.0,0.0,0.0
2020-07-26,2020-08-01,2020,31.0,8308.0,0.0,0.0
2020-08-02,2020-08-08,2020,32.0,7870.0,0.0,0.0
