Entity,Code,Day,Daily doses administered (7-day rolling average)
Alabama,,2020-01-13,5906
Alabama,,2020-01-14,7083
Alabama,,2020-01-15,7478
Alabama,,2020-01-16,7498
Alabama,,2020-01-17,7509
Alabama,,2020-01-18,7517
Alabama,,2020-01-19,7523
Alabama,,2020-01-20,7880
Alabama,,2020-01-21,10517
Alabama,,2020-01-22,14107
Alabama,,2020-01-23,16202
Alabama,,2020-01-24,18294
Alabama,,2020-01-25,18196
Alabama,,2020-01-26,17738
Alabama,,2020-01-27,18178
Alabama,,2020-01-28,16153
Alabama,,2020-01-29,14514
Alabama,,2020-01-30,17271
Alabama,,2020-01-31,15748
Alabama,,2020-02-01,15381
Alabama,,2020-02-02,16703
Alabama,,2020-02-03,17414
Alabama,,2020-02-04,18491
Alabama,,2020-02-05,18526
Alabama,,2020-02-06,16105
Alabama,,2020-02-07,15480
Alabama,,2020-02-08,15622
Alabama,,2020-02-09,17012
Alabama,,2020-02-10,18209
Alabama,,2020-02-11,19258
Alabama,,2020-02-12,20074
Alabama,,2020-02-13,20855
Alabama,,2020-02-14,21417
Alabama,,2020-02-15,22405
Alabama,,2020-02-16,20816
Alabama,,2020-02-17,19174
Alabama,,2020-02-18,18400
Alabama,,2020-02-19,24002
Alabama,,2020-02-20,25111
Alabama,,2020-02-21,25194
Alabama,,2020-02-22,24164
Alabama,,2020-02-23,25489
Alabama,,2020-02-24,27098
Alabama,,2020-02-25,27531
Alabama,,2020-02-26,22104
Alabama,,2020-02-27,22022
Alabama,,2020-02-28,21984
Alabama,,2020-02-29,22111
Alabama,,2020-03-01,22436
Alabama,,2020-03-02,22904
Alabama,,2020-03-03,23916
Alabama,,2020-03-04,24388
Alabama,,2020-03-05,24087
Alabama,,2020-03-06,23947
Alabama,,2020-03-07,24040
Alabama,,2020-03-08,24118
Alabama,,2020-03-09,24827
Alabama,,2020-03-10,25376
Alabama,,2020-03-11,26375
Alabama,,2020-03-12,26935
Alabama,,2020-03-13,26926
Alabama,,2020-03-14,27106
Alabama,,2020-03-15,27331
Alabama,,2020-03-16,27167
Alabama,,2020-03-17,25752
Alabama,,2020-03-18,25356
Alabama,,2020-03-19,24649
Alabama,,2020-03-20,24865
Alabama,,2020-03-21,24693
Alabama,,2020-03-22,25307
Alabama,,2020-03-23,25490
Alabama,,2020-03-24,27004
Alabama,,2020-03-25,26387
Alabama,,2020-03-26,26439
Alabama,,2020-03-27,26634
Alabama,,2020-03-28,26759
Alabama,,2020-03-29,26885
Alabama,,2020-03-30,26617
Alabama,,2020-03-31,27555
Alabama,,2020-04-01,28865
Alabama,,2020-04-02,28769
Alabama,,2020-04-03,28533
Alabama,,2020-04-04,28325
Alabama,,2020-04-05,28468
Alabama,,2020-04-06,29498
Alabama,,2020-04-07,29195
Alabama,,2020-04-08,29696
Alabama,,2020-04-09,31155
Alabama,,2020-04-10,31967
Alabama,,2020-04-11,32519
Alabama,,2020-04-12,32914
Alabama,,2020-04-13,33381
Alabama,,2020-04-14,33007
Alabama,,2020-04-15,32034
Alabama,,2020-04-16,30766
Alabama,,2020-04-17,29953
Alabama,,2020-04-18,29296
Alabama,,2020-04-19,28635
Alabama,,2020-04-20,27377
