,Start_Date,End_Date,Total_Doses,Week
0,2020-12-13,2020-12-19,1139003,51.0
1,2020-12-20,2020-12-26,1878155,52.0
2,2020-12-27,2021-01-02,3105966,53.0
3,2021-01-03,2021-01-09,5613572,1.0
4,2021-01-10,2021-01-16,7179128,2.0
5,2021-01-17,2021-01-23,8371239,3.0
6,2021-01-24,2021-01-30,10315441,4.0
7,2021-01-31,2021-02-06,11781298,5.0
8,2021-02-07,2021-02-13,12835915,6.0
9,2021-02-14,2021-02-20,10537483,7.0
10,2021-02-21,2021-02-27,14618838,8.0
11,2021-02-28,2021-03-06,16866398,9.0
12,2021-03-07,2021-03-13,18101530,10.0
13,2021-03-14,2021-03-20,18226864,11.0
14,2021-03-21,2021-03-27,20112089,12.0
15,2021-03-28,2021-04-03,22347928,13.0
16,2021-04-04,2021-04-10,23919295,14.0
17,2021-04-11,2021-04-17,21370778,15.0
18,2021-04-18,2021-04-24,19499596,16.0
19,2021-04-25,2021-05-01,17262209,17.0
20,2021-05-02,2021-05-08,14533238,18.0
21,2021-05-09,2021-05-15,12927617,19.0
22,2021-05-16,2021-05-22,12509802,20.0
23,2021-05-23,2021-05-29,8352627,21.0
24,2021-05-30,2021-06-05,6760398,22.0
25,2021-06-06,2021-06-12,7276919,23.0
26,2021-06-13,2021-06-19,5658109,24.0
27,2021-06-20,2021-06-26,4321894,25.0
28,2021-06-27,2021-07-03,3694333,26.0
29,2021-07-04,2021-07-10,3216273,27.0
30,2021-07-11,2021-07-17,3376787,28.0
31,2021-07-18,2021-07-24,3906832,29.0
32,2021-07-25,2021-07-31,4420578,30.0
33,2021-08-01,2021-08-07,4896128,31.0
34,2021-08-08,2021-08-14,5122689,32.0
35,2021-08-15,2021-08-21,5914847,33.0
36,2021-08-22,2021-08-28,6141348,34.0
37,2021-08-29,2021-09-04,5778137,35.0
38,2021-09-05,2021-09-11,4817898,36.0
39,2021-09-12,2021-09-18,4870834,37.0
40,2021-09-19,2021-09-25,4717424,38.0
41,2021-09-26,2021-10-02,6892309,39.0
42,2021-10-03,2021-10-09,6177261,40.0
43,2021-10-10,2021-10-16,5511978,41.0
44,2021-10-17,2021-10-23,5882700,42.0
45,2021-10-24,2021-10-30,9479733,43.0
46,2021-10-31,2021-11-06,9701587,44.0
47,2021-11-07,2021-11-13,10322766,45.0
